20-09-15-17-47-35,7C:21:0E:3E:6A:AF,32/70,-78,Unifi
20-09-15-17-47-35,7C:21:0E:3E:68:2F,32/70,-78,Unifi
20-09-15-17-47-35,A0:CF:5B:3E:2D:E0,30/70,-80,Unifi
20-09-15-17-47-35,A0:CF:5B:3E:2D:EF,29/70,-81,Unifi
20-09-15-17-47-35,70:DF:2F:C0:7C:2F,29/70,-81,Unifi
20-09-15-17-47-35,74:88:BB:26:16:2F,27/70,-83,Unifi
20-09-15-17-47-35,7C:21:0E:3E:6A:A0,34/70,-76,Unifi
20-09-15-17-47-35,B8:62:1F:E8:A9:3F,30/70,-80,Unifi
20-09-15-17-47-35,00:2C:C8:B0:3E:CF,33/70,-77,Unifi
20-09-15-17-47-35,00:2C:C8:12:51:8F,29/70,-81,Unifi
20-09-15-17-47-35,A0:CF:5B:3C:13:6F,37/70,-73,Unifi
20-09-15-17-47-35,A0:CF:5B:3D:5E:F0,35/70,-75,Unifi
20-09-15-17-47-35,A0:CF:5B:3C:13:60,37/70,-73,Unifi
20-09-15-17-47-35,70:DF:2F:C0:7C:20,33/70,-77,Unifi
20-09-15-17-47-35,B4:DE:31:11:34:2F,28/70,-82,Unifi
20-09-15-17-47-35,00:2C:C8:B0:3E:C0,30/70,-80,Unifi
20-09-15-17-47-35,7C:21:0E:3E:68:20,33/70,-77,Unifi
20-09-15-17-47-35,B8:62:1F:E8:A9:30,29/70,-81,Unifi
20-09-15-17-47-35,A0:CF:5B:3F:68:90,29/70,-81,Unifi
20-09-15-17-47-35,A0:CF:5B:3F:68:9F,27/70,-83,Unifi
