20-09-15-17-47-18,7C:21:0E:3E:6A:AF,45/70,-65,Unifi
20-09-15-17-47-18,7C:21:0E:3E:68:2F,35/70,-75,Unifi
20-09-15-17-47-18,A0:CF:5B:3E:2D:E0,30/70,-80,Unifi
20-09-15-17-47-18,A0:CF:5B:3E:2D:EF,38/70,-72,Unifi
20-09-15-17-47-18,70:DF:2F:C0:7C:2F,31/70,-79,Unifi
20-09-15-17-47-18,74:88:BB:26:16:2F,27/70,-83,Unifi
20-09-15-17-47-18,7C:21:0E:3E:6A:A0,39/70,-71,Unifi
20-09-15-17-47-18,B8:62:1F:E8:A9:3F,31/70,-79,Unifi
20-09-15-17-47-18,00:2C:C8:B0:3E:CF,32/70,-78,Unifi
20-09-15-17-47-18,00:2C:C8:12:51:8F,34/70,-76,Unifi
20-09-15-17-47-18,A0:CF:5B:3C:13:6F,33/70,-77,Unifi
20-09-15-17-47-18,A0:CF:5B:3D:5E:F0,35/70,-75,Unifi
20-09-15-17-47-18,A0:CF:5B:3C:13:60,39/70,-71,Unifi
20-09-15-17-47-18,70:DF:2F:C0:7C:20,33/70,-77,Unifi
20-09-15-17-47-18,B4:DE:31:11:34:2F,24/70,-86,Unifi
20-09-15-17-47-18,00:2C:C8:B0:3E:C0,29/70,-81,Unifi
20-09-15-17-47-18,7C:21:0E:3E:68:20,33/70,-77,Unifi
20-09-15-17-47-18,B8:62:1F:E8:A9:30,32/70,-78,Unifi
